path,modified_time
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\RBCmd.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\BrowsingHistoryView.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\shman.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\UserAssistView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\AppCompatCacheParser.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\WinPrefetchView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\JumpListsView.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\USBDeview.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\LastActivityView.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\UserProfilesView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\WebBrowserBookmarksView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\ShellBagsView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\NetworkInterfacesView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\RBCmd.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\BrowsingHistoryView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\shman.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\RecentFilesView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\UserAssistView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\OutlookAttachView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\AppCompatCacheParser.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\BrowserDownloadsView.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\OpenSaveFilesView.exe,2022-12-13 01:23:37
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\WinPrefetchView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\JumpListsView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\LastActivityView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\ShellBagsView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\RecentFilesView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\OutlookAttachView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\BrowserDownloadsView.exe,2022-12-13 01:22:36
C:\Users\User\AppData\Local\Temp\tmpce3mc85f\OpenSaveFilesView.exe,2022-12-13 01:22:36
C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Forensic_Tool\output\DF_CAT_Tool_v1.0.4.exe,2022-12-13 03:46:10
C:\Users\User\AppData\Local\Programs\Notion\Notion.exe,2022-10-14 21:00:26
00000009	00050336281f0000	000a000055f00000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,
00000009	007808a410540000	000a00007fff0000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,
c:\Windows\syswow64\MsiExec.exe,2022-11-10 12:40:23
C:\Windows\system32\msiexec.exe,2022-11-10 12:40:20
C:\Windows\System32\wevtutil.exe,2022-11-10 12:40:01
C:\Windows\system32\SearchIndexer.exe,2022-11-10 12:39:59
D:\Riot Games\Riot Client\RiotClientServices.exe,2022-12-07 07:27:49
C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe,2021-04-29 20:30:16
C:\Program Files\obs-studio\bin\64bit\obs64.exe,2022-10-21 08:20:20
C:\Program Files (x86)\NetSarang\Xshell 7\Xshell.exe,2022-09-08 09:18:50
C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe,2021-11-19 12:04:56
C:\Program Files\HxD\HxD.exe,2021-02-10 13:20:16
C:\Program Files\Microsoft Office\root\Office16\perfboost.exe,2022-12-13 01:10:15
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\USBDeview.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\UserProfilesView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\WebBrowserBookmarksView.exe,2022-12-13 01:07:58
