name,url,browser,start_time,end_time,size,path
[별지 1] 내부통제 체크리스트(집합투자증권 내부통제담당자 업무 규정).hwp,https://www.law.go.kr/LSW/flDownload.do?flSeq=95658555,Chrome,2022-10-20 오후 5:55:42,2022-10-20 오후 5:55:44,"16,384",C:\Users\User\Downloads\[별지 1] 내부통제 체크리스트(집합투자증권 내부통제담당자 업무 규정).hwp
이익규-국문-재학증명서-202210041002.pdf,https://mail.google.com/mail/u/0/?ui=2&ik=1d85ebd70f&attid=0.3&permmsgid=msg-a:r306699782495000070&th=183a0d341f7f456e&view=att&disp=safe&realattid=f_l8tl0w642,Chrome,2022-10-18 오후 12:14:05,2022-10-18 오후 12:14:05,"397,781",C:\Users\User\Downloads\이익규-국문-재학증명서-202210041002.pdf
순천향대학교.zip,https://bigfile.mail.naver.com/download?fid=6PnmKoCObzuZKqKjK3Y9Fxvra3YZKAUZKxgwFAUwFxKdKCYwFoM/KqEwFxvlHqKlKzKZpAC0K6UwFq2mM4MdMqElFqivMru9Kr3vF6Uw,Chrome,2022-10-14 오후 9:56:27,2022-10-14 오후 9:58:03,"1,116,698,007",D:\goodsample\순천향대학교.zip
Citrix_Provisioning_2209.iso,https://www.google.com/url?q=https://bigfile.mail.naver.com/download?fid%3D5fYjFx2qaHbrFouqK3YwFxvZHqUmKoUmaxKmKouwKxuqHqurFobwFAulaxvjFq30pAvqF6uqFoFSKrUwFoKXF6uXFruwKxtdFqKwMoE%3D&source=gmail&ust=1664626465313000&usg=AOvVaw0CiWyiXjrqw6B83wweTqa4,Chrome,2022-09-30 오후 9:14:30,2022-09-30 오후 9:15:52,"955,932,672",D:\goodsample\Citrix_Provisioning_2209.iso
또울가 춤 영상.zip,https://cdn-52-141-61-167.send-anywhere.com/api/webfile/433319?device_key=0f2613a55af7cb2105d9bb2d32612de208d930886e801b7b76b6f33b7eae3642&timezone=9,Chrome,2022-09-24 오후 1:34:18,2022-09-24 오후 1:34:52,"333,434,093",D:\goodsample\또울가 춤 영상.zip
OP.GG+Setup+1.0.41.exe,https://opgg-desktop-patch.akamaized.net/OP.GG+Setup+1.0.41.exe,Chrome,2022-09-23 오후 7:33:37,2022-09-23 오후 7:33:52,"125,608,400",D:\goodsample\OP.GG+Setup+1.0.41.exe
Gangster Crime City War Games_v2.2_apkpure.com.xapk,https://download.apkpure.com/b/XAPK/Y29tLmZmZy5hdXRvLnRoZWZ0LmdyYW5kLm1hZmlhLmJhdHRsZXNfMTNfMjlkMzYzZDI?_fn=R2FuZ3N0ZXIgQ3JpbWUgQ2l0eSBXYXIgR2FtZXNfdjIuMl9hcGtwdXJlLmNvbS54YXBr&as=d2a5d4e91f55339df8da20d89e4cd6f763272105&ai=1416128220&at=1663508621&_sa=ai%2Cat&k=581cbd88bd62818ec245d412d7e265246329c38d&r=https%3A%2F%2Fapkpure.com%2Fkr%2Fgame%3Fsort%3Dnew&_p=Y29tLmZmZy5hdXRvLnRoZWZ0LmdyYW5kLm1hZmlhLmJhdHRsZXM&c=2%7CGAME_ACTION%7CZGV2PVZpbmVnYXIlMjBHYW1lcyZ0PXhhcGsmcz03NTAwOTE3MCZ2bj0yLjImdmM9MTM,Chrome,2022-09-18 오후 10:43:52,,"75,009,170",D:\goodsample\Gangster Crime City War Games_v2.2_apkpure.com.xapk
"com.zhangyue.read_9.22.0-3037_minAPI21(arm64-v8a,armeabi)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920412&key=7a0891e7c5589b6610a547c00fc7e5a2c8541c5e&forcebaseapk=true,Chrome,2022-09-18 오후 9:23:21,2022-09-18 오후 9:23:26,"31,649,900","D:\goodsample\com.zhangyue.read_9.22.0-3037_minAPI21(arm64-v8a,armeabi)(nodpi)_apkmirror.com.apk"
"com.pinkbike.trailforks_1.59.1-19159100_minAPI22(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920437&key=a5663388570a83345eea0a41054a3fd3396f93b2,Chrome,2022-09-18 오후 9:22:55,2022-09-18 오후 9:23:13,"105,731,581","D:\goodsample\com.pinkbike.trailforks_1.59.1-19159100_minAPI22(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk"
"com.hammersecurity_22.22-214_minAPI21(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920467&key=eae76a1dc0aab6ffdc87767d4fa8d9b58862e015&forcebaseapk=true,Chrome,2022-09-18 오후 9:22:44,2022-09-18 오후 9:22:49,"22,546,375","D:\goodsample\com.hammersecurity_22.22-214_minAPI21(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk"
