name,path,action_time
CoreGlobConfig.dll,C:\Windows\System32\CoreGlobConfig.dll,2022-12-17 오후 1:22:52
"RAVBg64.exe""","""C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe""",2022-12-17 오후 1:22:52
"RAVBg64.exe""","""C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe""",2022-12-17 오후 1:22:52
"RAVBg64.exe""","""C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe""",2022-12-17 오후 1:22:52
GOOGLEUPDATE.EXE,C:\PROGRAM FILES (X86)\Google\Update\GOOGLEUPDATE.EXE,2022-12-17 오후 1:22:47
ASDWsc.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\ASDWsc.exe,2022-12-17 오후 1:22:47
LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,2022-12-17 오후 1:22:44
ALUpdate.exe,C:\PROGRAM FILES (X86)\ESTsoft\ALUpdate\ALUpdate.exe,2022-12-17 오후 1:22:43
OneDrive.exe,C:\PROGRAM FILES\MICROSOFT ONEDRIVE\OneDrive.exe,2022-12-17 오후 1:22:42
ALCAPTUREEDITOR.EXE,C:\PROGRAM FILES (X86)\ESTsoft\ALCAPTURE\ALCAPTUREEDITOR.EXE,2022-12-17 오후 1:22:42
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:22:41
autoup.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\MUpdate2\Update\autoup.exe,2022-12-17 오후 1:22:38
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:22:38
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:22:38
LENOVOVANTAGE-(LENOVOGAMINGSYSTEMADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOGAMINGSYSTEMADDIN).EXE,2022-12-17 오후 1:22:38
TEXTINPUTHOST.EXE,C:\Windows\SYSTEMAPPS\MICROSOFTWINDOWS.CLIENT.CBS_CW5N1H2TXYEWY\TEXTINPUTHOST.EXE,2022-12-17 오후 1:22:36
BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,2022-12-17 오후 1:22:36
mobsync.exe,C:\Windows\System32\mobsync.exe,2022-12-17 오후 1:22:33
WAASMEDICAGENT.EXE,C:\WINDOWS\SYSTEM32\WAASMEDICAGENT.EXE,2022-12-17 오후 1:22:32
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:22:32
"SamsungPortableSSDMon.exe""","""C:\ProgramData\Samsung Apps\Portable SSD\SamsungPortableSSDMon.exe""",2022-12-17 오후 1:22:32
ipconfig.exe,C:\Windows\System32\ipconfig.exe,2022-12-17 오후 1:22:31
SettingSyncCore.dll,C:\Windows\system32\SettingSyncCore.dll,2022-12-17 오후 1:22:30
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:22:27
STARTMENUEXPERIENCEHOST.EXE,C:\Windows\SYSTEMAPPS\MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST_CW5N1H2TXYEWY\STARTMENUEXPERIENCEHOST.EXE,2022-12-17 오후 1:22:27
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:22:26
SPPSVC.EXE,C:\WINDOWS\SYSTEM32\SPPSVC.EXE,2022-12-17 오후 1:22:25
